clip_A,clip_B,clip_C,simple_chroma_c1,simple_chroma_c2,simple_chroma_c3,simple_chroma_c4,simple_chroma_c5,simple_chroma_c6,simple_mfcc_c1,simple_mfcc_c2,simple_mfcc_c3,simple_mfcc_c4,simple_mfcc_c5,simple_mfcc_c6,"y = sim(A,B) > sim(A,C) ^ sim(B,A) > sim(B,C)"
58285|d/janine_johnson-telemann_harpsichord_solos_from_der_getreue_music_meister-27-suite_gigue_pezold-117-146.mp3,52226|1/jeff_wahl-guinevere-14-tristan_and_isolde-320-349.mp3,2634|4/jay_kishor-the_color_of_night-01-malkauns-1480-1509.mp3,2.3781906338019927,4.3937029286419973,4.3214996203567795,5.0970094825526377,4.7306119138555447,3.466425503626005,794.74053292016049,547.34169123541403,646.79645868824173,735.14040958328519,539.85130898056627,611.27358849618668,1
58285|d/janine_johnson-telemann_harpsichord_solos_from_der_getreue_music_meister-27-suite_gigue_pezold-117-146.mp3,52226|1/jeff_wahl-guinevere-14-tristan_and_isolde-320-349.mp3,2634|4/jay_kishor-the_color_of_night-01-malkauns-1480-1509.mp3,3.466425503626005,4.3214996203567795,4.3937029286419973,4.7306119138555447,5.0970094825526377,2.3781906338019927,611.27358849618668,646.79645868824173,547.34169123541403,539.85130898056627,735.14040958328519,794.74053292016049,1
51409|5/paul_beier-simone_molinaro-14-frais___gaillard__canzone_francese_a_quattro_di_clemens_non_papa-175-204.mp3,55261|8/jacob_heringman-josquin_des_prez_lute_settings-18-newsidler__adieu_mes_amours-146-175.mp3,44825|6/norine_braun-crow-10-wingsphoenix-59-88.mp3,3.4617026679949743,5.4551392925645636,4.7680137078727629,5.2990070958892987,2.0338084289223191,2.4280281998356301,280.15055036028753,480.53729266046457,820.3625140608284,850.15524635284942,634.14341027310911,305.14386413849269,1
51409|5/paul_beier-simone_molinaro-14-frais___gaillard__canzone_francese_a_quattro_di_clemens_non_papa-175-204.mp3,55261|8/jacob_heringman-josquin_des_prez_lute_settings-18-newsidler__adieu_mes_amours-146-175.mp3,44825|6/norine_braun-crow-10-wingsphoenix-59-88.mp3,2.4280281998356301,4.7680137078727629,5.4551392925645636,2.0338084289223191,5.2990070958892987,3.4617026679949743,305.14386413849269,820.3625140608284,480.53729266046457,634.14341027310911,850.15524635284942,280.15055036028753,1
58843|8/jacob_heringman-blame_not_my_lute-49-grene_sleves-0-29.mp3,37140|0/american_bach_soloists-joseph_haydn__masses-08-sanctus__adagio__allegro-117-146.mp3,8725|b/satori-journey_to_other_worlds-02-other_worlds-204-233.mp3,2.8317804907129087,3.0784396231709605,4.2764193860326429,3.4981523106530088,3.5741405490313016,4.1518166823344131,692.70955637826933,716.48732164905016,586.11803389975285,495.17515822530424,732.2379749289712,467.05706824478887,1
58843|8/jacob_heringman-blame_not_my_lute-49-grene_sleves-0-29.mp3,37140|0/american_bach_soloists-joseph_haydn__masses-08-sanctus__adagio__allegro-117-146.mp3,8725|b/satori-journey_to_other_worlds-02-other_worlds-204-233.mp3,4.1518166823344131,4.2764193860326429,3.0784396231709605,3.5741405490313016,3.4981523106530088,2.8317804907129087,467.05706824478887,586.11803389975285,716.48732164905016,732.2379749289712,495.17515822530424,692.70955637826933,1
54892|d/drevo-christian_themes_in_ukrainian_folk_songs-17-through_the_wide_field_through_the_deep_sea-88-117.mp3,43402|d/the_west_exit-nocturne-10-nine_lives-204-233.mp3,43640|c/liquid_zen-seventythree-10-passing_cars-0-29.mp3,3.4815295014567833,1.7538571281741919,4.3177083250972519,3.6486927115373695,2.3881053162568917,3.6013108672067222,957.96662427398076,658.84789231202126,1062.1998986717831,539.22875380065011,825.56651753995357,1031.6473046192486,1
54892|d/drevo-christian_themes_in_ukrainian_folk_songs-17-through_the_wide_field_through_the_deep_sea-88-117.mp3,43402|d/the_west_exit-nocturne-10-nine_lives-204-233.mp3,43640|c/liquid_zen-seventythree-10-passing_cars-0-29.mp3,3.6013108672067222,4.3177083250972519,1.7538571281741919,2.3881053162568917,3.6486927115373695,3.4815295014567833,1031.6473046192486,1062.1998986717831,658.84789231202126,825.56651753995357,539.22875380065011,957.96662427398076,1
6352|d/shiva_in_exile-ethnic-02-breathing-30-59.mp3,43037|4/rapoon-the_kirghiz_light__cd_1-10-jacobs_drum-88-117.mp3,7445|7/artemis-gravity-02-fountain_of_life-59-88.mp3,0.92623871257350343,3.5523751218338639,3.4178259133641276,2.0510800978522292,2.1519163747235206,1.1465716106531745,265.92444205926557,314.26292363111327,517.64431158299726,464.74931963547238,300.90789540296646,341.63645383292942,1
6352|d/shiva_in_exile-ethnic-02-breathing-30-59.mp3,43037|4/rapoon-the_kirghiz_light__cd_1-10-jacobs_drum-88-117.mp3,7445|7/artemis-gravity-02-fountain_of_life-59-88.mp3,1.1465716106531745,3.4178259133641276,3.5523751218338639,2.1519163747235206,2.0510800978522292,0.92623871257350343,341.63645383292942,517.64431158299726,314.26292363111327,300.90789540296646,464.74931963547238,265.92444205926557,1
